,Companies,locations
0,"['Google', 'Gartner', 'du', 'Atos']","['Dubai, United Arab Emirates', 'Dubai, UAE']"
1,"['Oracle', 'IBM', 'ZTE Corporation']","['Amsterdam Area, Netherlands', 'Dubai, United Arab Emirates', 'Dubai, United Arab Emirates', 'Morocco', 'Beijing City, China']"
2,"['Université Paris 8 Vincennes - Saint-Denis', 'Boston Consulting Group (BCG)', 'Saegus']","['Paris Area, France', 'Paris 09, Île-de-France, France', 'Région de Paris, France', 'Région de Paris, France', 'Paris Area, France']"
3,"['IBM', 'Freelance, self-employed', 'GASCO', 'Raqmiyat', 'ITQAN AL BAWARDI COMPUTERS, ABU DHABI, UAE']","['Casablanca', 'Abu Dhabi', 'United Arab Emirates']"
4,"['IBM', 'SQLI']","['Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco', 'Rabat', 'Rabat', 'Casablanca', 'Région de Nantes, France']"
5,"['IBM', 'Consultant SAP']","['Préfecture de Casablanca, Morocco']"
6,"['Bank Al-Maghrib\n        Internship', 'Trésorerie Générale du Royaume\n        Internship', 'Centre National pour la Recherche Scientifique et Technique (CNRST)\n        Internship']","['Casablanca - Settat, Maroc', 'Casablanca', 'Casablanca - Settat, Maroc', 'Casablanca - Settat, Maroc', 'Rabat', 'Rabat', 'Rabat']"
7,"['IBM', 'Capgemini', 'CBI', 'ATLANTA Assurance']","['Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Casablanca']"
8,"['IBM', 'Atos', 'Applinum']","['Casablanca Prefecture, Morocco', 'Casablanca Prefecture, Morocco', 'Marrakech']"
9,"['Henceforth', 'Amendis\n        Internship']","['Casablanca, Casablanca-Settat, Maroc', 'Casablanca, Casablanca-Settat, Maroc', 'Casablanca, Casablanca-Settat, Maroc', 'Casablanca, Morocco', 'Casablanca', 'Rabat', 'Tétouan, Morocco']"
10,"['IBM', 'United Remote\n        Full-time']","['Casablanca Prefecture, Morocco', 'Rabat Prefecture, Morocco']"
11,"['IBM', 'BANQUE CENTRALE POPULAIRE', 'Banque Centrale Populaire', 'OCP SA']","['Casablanca', 'Casablanca']"
12,"['IBM', 'Bourse de casablanca', 'Crédit du Maroc']","['Casablanca Prefecture, Morocco']"
13,"['IBM', 'Atos']",['France']
14,"['Akka Technologies', 'Préfecture de la région Souss-Massa', 'Transparence Informatique']","['Région de Paris, France', 'Région de Paris, France', 'Région de Paris, France', 'Préfecture de Casablanca, Morocco', 'Préfecture d’Agadir Ida-Outanane, Morocco', 'Préfecture d’Agadir Ida-Outanane, Morocco']"
15,"['IBM interactive', 'IBM']","['Région de Paris, France', 'Région de Lille, France', 'Région de Toulouse, France', 'Rabat, Maroc']"
16,"['SQLI', 'Microsoft']","['Paris Area, France', 'Paris', 'Microsoft North Africa', 'Microsoft North Africa']"
17,"['Microsoft\n        Full-time', 'Pictet Technologies SA\n        Full-time', 'Digimind', 'Capgemini']","['Oslo, Norway', 'Luxembourg', 'Rabat']"
18,"['CBI', 'Nelite North Africa', 'SUPINFO', 'Microdata']","['Casablanca', 'Casablanca et périphérie', 'Casablanca', 'Casablanca', 'Casablanca', 'Casablanca  / Rabat']"
19,"['Amazon\n        Full-time', 'Apogee, Inc.\n        Full-time', 'VersaSuite The Adaptive HIS/EHR/EPM/ERP Solution']","['Austin, Texas Metropolitan Area', 'Austin, Texas Area', 'Austin, Texas Area', 'Computer science Professor', 'Rabat']"
20,"['Dynamo Mobile Accelerator', 'Seamless Payments AB']","['Stockholm, Stockholm County, Sweden', 'Stockholm, Sverige', 'Stockholm, Suède', 'Stockholm, Suède']"
21,"['Royal Air Maroc\n        Full-time', 'Béricolor S.A\n        Full-time', 'Archytas Conseil\n        Full-time', 'Self-employed', 'HBN Consulting Maroc\n        Full-time']","['Préfecture de Casablanca, Morocco', 'Casablanca Prefecture, Morocco', 'Rabat, Morocco', 'Rabat Prefecture, Morocco', 'Rabat, Morocco']"
22,"['Olympiades ENSIAS\n        Part-time', 'Forum GENI ENTREPRISES\n        Part-time', 'Fintech ENSIAS']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat, Rabat-Salé-Kénitra, Maroc']"
23,"['FARASHA SYSTEMS\n        Internship', 'DXC Technology\n        Internship', 'SQLI\n        Internship']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Préfecture de Salé, Morocco', 'Préfecture de Rabat, Morocco']"
24,[],[]
25,[],[]
26,"['Carnegie Mellon University', 'Al Barid Bank']","['Région de Greater Pittsburgh, États-Unis', 'Rabat']"
27,"['Payment Center For Africa - PCA', 'Olympiades ENSIAS', 'Gorgov Digital advertising agency\n        Internship']","['Le Caire, Égypte']"
28,['DATAINSIGHT SERVICES\n        Internship'],[]
29,"['FARASHA SYSTEMS\n        Internship', 'OCP SA']","['Préfecture de Rabat, Morocco', 'Province d’El Jadida, Morocco']"
30,[],[]
31,"['DXC Technology\n        Internship', 'D&A\n        Internship', 'Agence du Bassin Hydraulique de Draa OuedNoun']","['Rabat et périphérie', 'Casablanca, Maroc', 'Province de Guelmim, Morocco']"
32,"['Capgemini\n        Full-time', 'Caisse Centrale de Garantie', 'Digimind', 'Sofrecom']","['Préfecture de Rabat, Morocco', 'Rabat', 'Rabat, Morocco', 'Préfecture de Rabat, Morocco']"
33,"['M2M Group\n        Full-time', 'NCR Corporation', 'CFG Bank', 'SANAD Assurances', 'Wave Incorporation']","['Casablanca, Casablanca - Settat, Maroc', 'Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Préfecture de Skhirat-Témara, Morocco']"
34,"['Africompetence\n        Internship', 'Econocom\n        Internship']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Salé, Rabat-Salé-Kénitra, Maroc']"
35,"[""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS"", 'INTELLCAP CORPORATION\n        Full-time']","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Rabat Metropolitan Area']"
36,[],[]
37,"['INGECYS Telecom\n        Internship', 'IEEE ENSIAS STUDENT BRANCH', 'INOVA communication\n        Internship']","['Tanger, Tanger-Tétouan, Morocco']"
38,"['Société Générale - Africa Technologies & Services\n        Internship', 'Essorline\n        Internship', 'SOFA MAROC\n        Internship']","['Casablanca - Settat, Maroc', 'Rabat, Rabat - Salé - Kénitra, Maroc', 'Casablanca - Settat, Maroc']"
39,"[""Conseil de la communauté marocaine à l'étranger\n        Internship""]","['الرباط, Rabat-Salé-Kenitra, Morocco']"
40,"['Société Générale - Africa Technologies & Services\n        Internship', 'ARES\n        Internship', 'ASSOCIATION DES ÉLÈVES INGÉNIEURS', 'Office National des Chemins de Fer (ONCF)\n        Internship']","['Casablanca, Casablanca-Settat, Maroc', 'Casablanca, Casablanca-Settat, Maroc', 'Rabat, Rabat-Salé-Zemmour-Zaër, Morocco']"
41,"['TEDxENSIAS', 'Groupe Timar']",[]
42,"['iA Financial Group (Industrial Alliance)', 'Université de Sherbrooke', 'Ménara Holding', 'Smart Geo Apps']","['Québec, Canada', 'Sherbrooke, Québec', 'Marrakech Prefecture, Morocco', 'Marrakech, Marrakech-Tensift-Al Haouz, Morocco']"
43,[],[]
44,"['Greenfields development', 'Attijariwafa bank', 'MyAppConverter LTD', 'Casa Prestations', 'Caisse de Dépôt et de Gestion']","['Casablanca Prefecture, Morocco', 'Casablanca Prefecture, Morocco', 'London, Royaume-Uni', 'Casablanca Prefecture, Morocco', 'Rabat Prefecture, Morocco']"
45,"['Silicon Labs\n        Permanent', 'Silicon Labs\n        Internship', 'STMicroelectronics France\n        Part-time', 'Office National des Chemins de Fer (ONCF)\n        Internship', 'Lear Corporation']","['Rennes, Brittany, France', 'Rennes, Bretagne, France', 'Le Mans Area, France', 'Préfecture de Rabat, Morocco', 'Technopolis,Rabat']"
46,[],[]
47,"['Adverthing GmbH', 'OCP S.A\n        Internship', 'Office National des Chemins de Fer (ONCF)\n        Internship', 'ENACTUS ENSIAS']","['Germany - HomeOffice', 'el jorf lasfar', 'Rabat Prefecture, Morocco', 'Rabat Prefecture, Morocco']"
48,[],[]
49,[],[]
50,"['CDG Capital\n        Freelance', 'MAScIR - Moroccan Foundation for Advanced Science, Innovation and Research\n        Contract', 'mosaiclab.io\n        Full-time', 'ENSIAS\n        Internship']","['Rabat, Morocco', 'Rabat Prefecture, Morocco', 'Casablanca Prefecture, Morocco', 'Rabat Prefecture, Morocco']"
51,"['Adria Business & Technology\n        Internship', 'DIGI4\n        Internship', 'Al Barid Bank']","['Casablanca-Settat, Maroc', 'Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
52,"['Faculté des sciences de Rabat\n        Full-time', 'Faculty Of Science - Mohamed V University\n        Full-time']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat-Salé-Kénitra, Maroc']"
53,"['Olympiades ENSIAS\n        Full-time', 'FST Settat\n        Internship', ""Direction Régional de l'Equipement, du Transport et de la Logistique \n        Internship"", 'AREF LAAYOUNE\n        Internship']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Maroc', 'Laâyoune - Sakia El Hamra, Maroc', 'Laâyoune-Sakia El Hamra, Maroc']"
54,"['Banque Centrale Populaire - BCP\n        Internship', 'Wafa Assurance', 'CALLIGRAPHY PRINT']","['Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Casablanca, Morocco']"
55,"['Axelink Maroc', 'Ericsson', 'Ministère d’Economie et de Finance', 'Maroc Modis (Triumph)']","['Casablanca, Grand Casablanca, Morocco', 'Maroc', 'Préfecture de Rabat, Morocco', 'Préfecture de Fès, Morocco']"
56,[],"['Préfecture de Rabat, Morocco', 'rabat']"
57,"['Jaouad.ma\n        Internship', 'Freelance', 'Université Internationale de Rabat\n        Internship']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Casablanca, Casablanca-Settat, Maroc', 'Rabat, Rabat-Salé-Kénitra, Maroc']"
58,"['ENSIAS IT Club', 'Olympiades ENSIAS', 'Groupe ÉLÉPHANT VERT\n        Internship']","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Meknes, Fès-Meknès, Morocco']"
59,[],[]
60,[],[]
61,"['Huawei', 'Ministry of Finance and Administrative Reform \n        Internship']","['Grenoble, Auvergne-Rhône-Alpes, France', 'Rabat, Morocco']"
62,"['Arval BNP Paribas Group\n        Full-time', 'INGENIANCE\n        Permanent', 'Atos', 'Bold Data']","['Paris Area, France', 'Paris Area, France', 'Paris Area, France', 'Paris, Île-de-France, France', 'Échirolles']"
63,[],[]
64,[],[]
65,"['University of Maryland', 'IBM', 'Maroc Telecom']","['San Francisco Bay Area', 'San Francisco Bay Area', 'College Park, MD, USA', 'Yorktown Heights, NY, USA', 'Rabat, Morocco']"
